SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
289,19.968,39,10,none,7.5,400,5015,12.5375,380,348,0.915789,0.859649,0.818875,0.800099,0.777106,0.73382,0.666888,0.666888,0.666888,0.666888,0.322293
290,18.432,36,10,none,7.5,400,5070,12.675,362,339,0.936464,0.849415,0.819763,0.799203,0.778857,0.732054,0.672464,0.672464,0.672464,0.672464,0.32223
291,18.432,36,10,none,7.5,400,5223,13.0575,347,323,0.930836,0.874483,0.843682,0.820984,0.795164,0.749149,0.682834,0.682834,0.682834,0.682834,0.322445
292,18.432,36,10,none,7.5,400,5026,12.565,393,362,0.92112,0.868421,0.822826,0.79421,0.767986,0.716057,0.652597,0.652597,0.652597,0.652597,0.322391
293,19.968,39,10,none,7.5,400,4934,12.335,420,384,0.914286,0.856684,0.810258,0.78509,0.75378,0.700466,0.636352,0.636352,0.636352,0.636352,0.322486
294,20.48,40,10,none,7.5,400,5320,13.3,399,376,0.942356,0.896658,0.867792,0.841258,0.8106,0.756886,0.681271,0.681271,0.681271,0.681271,0.322368
295,18.944,37,10,none,7.5,400,4849,12.1225,428,377,0.880841,0.830032,0.790141,0.756702,0.729312,0.688565,0.61758,0.61758,0.61758,0.61758,0.322439
296,17.408,34,10,none,7.5,400,5439,13.5975,392,361,0.920918,0.862719,0.846924,0.836373,0.815859,0.772784,0.694608,0.694608,0.694608,0.694608,0.32246
297,14.336,28,10,none,7.5,400,5250,13.125,358,330,0.921788,0.863384,0.837077,0.814668,0.784402,0.744422,0.670285,0.670285,0.670285,0.670285,0.322641
298,12.288,24,10,none,7.5,400,5012,12.53,351,323,0.920228,0.841102,0.803728,0.782759,0.757092,0.708193,0.64586,0.64586,0.64586,0.64586,0.322683
299,13.824,27,10,none,7.5,400,5300,13.25,356,339,0.952247,0.87156,0.842669,0.824502,0.803373,0.758129,0.685962,0.685962,0.685962,0.685962,0.322852
300,14.336,28,10,none,7.5,400,5245,13.1125,320,290,0.90625,0.868946,0.821575,0.80619,0.788019,0.747714,0.685539,0.685539,0.685539,0.685539,0.322806
