SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
386,17.408,34,10,none,7.5,400,4746,11.865,244,218,0.893443,0.902174,0.874875,0.843034,0.816331,0.757303,0.705742,0.705742,0.705742,0.705742,0.388068
387,18.432,36,10,none,7.5,400,4854,12.135,216,201,0.930556,0.892035,0.875,0.860885,0.837556,0.775362,0.719176,0.719176,0.719176,0.719176,0.387916
388,16.384,32,10,none,7.5,400,5088,12.72,223,219,0.982063,0.933697,0.911836,0.896274,0.867782,0.805816,0.758729,0.758729,0.758729,0.758729,0.387818
389,15.36,30,10,none,7.5,400,4925,12.3125,277,249,0.898917,0.919145,0.877398,0.864397,0.841545,0.788611,0.731649,0.731649,0.731649,0.731649,0.387743
390,11.776,23,10,none,7.5,400,4955,12.3875,314,304,0.968153,0.925551,0.89611,0.878302,0.85442,0.794711,0.737054,0.737054,0.737054,0.737054,0.387683
391,13.312,26,10,none,7.5,400,3997,9.9925,280,245,0.875,0.802727,0.766458,0.736191,0.706961,0.648142,0.590748,0.590748,0.590748,0.590748,0.390303
392,17.408,34,10,none,7.5,400,5023,12.5575,247,237,0.959514,0.923214,0.891117,0.872961,0.854283,0.815091,0.747767,0.747767,0.747767,0.747767,0.390183
393,15.36,30,10,none,7.5,400,4674,11.685,228,215,0.942982,0.835689,0.821787,0.822248,0.804472,0.765207,0.702556,0.702556,0.702556,0.702556,0.390038
394,14.848,29,10,none,7.5,400,4832,12.08,232,218,0.939655,0.922509,0.880682,0.873591,0.838993,0.803715,0.724029,0.724029,0.724029,0.724029,0.389872
395,14.336,28,10,none,7.5,400,4498,11.245,238,221,0.928571,0.86,0.817528,0.809888,0.782501,0.745673,0.677264,0.677264,0.677264,0.677264,0.389725
396,13.312,26,10,none,7.5,400,4619,11.5475,220,203,0.922727,0.87051,0.848687,0.837424,0.808205,0.760595,0.696531,0.696531,0.696531,0.696531,0.389582
397,14.336,28,10,none,7.5,400,4628,11.57,241,232,0.962656,0.901246,0.84574,0.834576,0.811055,0.759775,0.695999,0.695999,0.695999,0.695999,0.389434
398,14.336,28,10,none,7.5,400,4678,11.695,226,209,0.924779,0.873857,0.84235,0.829241,0.808939,0.763693,0.695982,0.695982,0.695982,0.695982,0.389276
399,14.336,28,10,none,7.5,400,4541,11.3525,232,214,0.922414,0.836538,0.813659,0.799405,0.787452,0.743773,0.68051,0.68051,0.68051,0.68051,0.389121
400,13.824,27,10,none,7.5,400,4679,11.6975,202,193,0.955446,0.887755,0.853638,0.84202,0.81991,0.770369,0.705155,0.705155,0.705155,0.705155,0.38897
