SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,100.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,100.0
2,2.56,5,10,protocol,7.5,1000,16253,16.253,1812,1446,0.798013,0.664323,0.59805,0.560237,0.52404,0.471453,0.411476,0.411476,0.411476,0.411476,0.416229,20,100.0
3,9.216,18,10,protocol,7.5,1000,16920,16.92,1818,1441,0.792629,0.675211,0.608641,0.568619,0.533366,0.480463,0.421619,0.421619,0.421619,0.421619,0.530373,20,100.0
4,6.6560000000000015,13,10,protocol,7.5,1000,15770,15.77,1656,1241,0.749396,0.625161,0.563654,0.523235,0.488584,0.4411890000000001,0.388982,0.388982,0.388982,0.388982,0.592143,20,100.0
5,10.752,21,10,protocol,7.5,1000,17999,17.999000000000006,1711,1370,0.800701,0.684322,0.624028,0.583685,0.544297,0.4961,0.439712,0.439712,0.439712,0.439712,0.605504,20,100.0
6,14.336,28,10,protocol,7.5,1000,17745,17.745,1803,1437,0.797005,0.688621,0.618544,0.575212,0.534509,0.483624,0.428454,0.428454,0.428454,0.428454,0.610355,20,100.0
7,15.36,30,10,protocol,7.5,1000,16973,16.973,1842,1406,0.763301,0.636582,0.5786020000000001,0.5395840000000001,0.507309,0.46088,0.408051,0.408051,0.408051,0.408051,0.601688,20,100.0
8,13.312,26,10,protocol,7.5,1000,15840,15.84,1970,1443,0.732487,0.612202,0.5528430000000001,0.5091859999999999,0.47143,0.427826,0.378481,0.378481,0.378481,0.378481,0.603982,20,100.0
9,13.824000000000002,27,10,protocol,7.5,1000,17885,17.885,2020,1607,0.795545,0.673129,0.607432,0.564129,0.526105,0.480019,0.424908,0.424908,0.424908,0.424908,0.608401,20,100.0
10,12.8,25,10,protocol,7.5,1000,16350,16.35,2077,1539,0.740973,0.618796,0.5576939999999999,0.517568,0.483031,0.4341680000000001,0.384095,0.384095,0.384095,0.384095,0.599673,20,100.0
11,14.848,29,10,protocol,7.5,1000,15822,15.822,1974,1443,0.731003,0.605007,0.536958,0.492407,0.459357,0.414619,0.368049,0.368049,0.368049,0.368049,0.597434,20,100.0
12,14.336,28,10,protocol,7.5,1000,17211,17.211,1960,1535,0.783163,0.648143,0.577462,0.5284220000000001,0.494687,0.445877,0.396493,0.396493,0.396493,0.396493,0.5922930000000001,20,100.0
13,10.752,21,10,protocol,7.5,1000,18325,18.325,1944,1519,0.781379,0.651345,0.5940810000000001,0.5528569999999999,0.517396,0.472766,0.42085,0.42085,0.42085,0.42085,0.583434,20,100.0
14,10.752,21,10,protocol,7.5,1000,16688,16.688,1999,1505,0.752876,0.613591,0.548657,0.504473,0.469211,0.426524,0.38165,0.38165,0.38165,0.38165,0.584987,20,100.0
15,14.848,29,10,protocol,7.5,1000,17724,17.724,1928,1429,0.741183,0.628974,0.576256,0.539787,0.497673,0.449466,0.401891,0.401891,0.401891,0.401891,0.581577,20,100.0
16,14.336,28,10,protocol,7.5,1000,16627,16.627,1798,1351,0.75139,0.608654,0.544034,0.499555,0.46319,0.418497,0.373847,0.373847,0.373847,0.373847,0.574786,20,100.0
17,17.408,34,10,protocol,7.5,1000,18188,18.188,1747,1300,0.744133,0.624664,0.563368,0.52774,0.4936930000000001,0.449948,0.405051,0.405051,0.405051,0.405051,0.5709770000000001,20,100.0
18,16.384,32,10,protocol,7.5,1000,16831,16.831,1830,1348,0.736612,0.604158,0.537614,0.496967,0.460845,0.415843,0.372972,0.372972,0.372972,0.372972,0.566704,20,100.0
19,15.36,30,10,protocol,7.5,1000,16703,16.703,1904,1366,0.717437,0.615157,0.5405479999999999,0.494649,0.457407,0.413245,0.36971,0.36971,0.36971,0.36971,0.562519,20,100.0
