SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,90.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,90.0
2,3.584,7,10,protocol,7.5,900,14002,15.5578,1372,1130,0.823615,0.719342,0.64659,0.603163,0.5612010000000001,0.5061359999999999,0.445222,0.445222,0.445222,0.445222,0.378557,20,90.0
3,13.824000000000002,27,10,protocol,7.5,900,14583,16.2033,1370,1161,0.8474450000000001,0.746432,0.6722819999999999,0.6123029999999999,0.571625,0.51775,0.457272,0.457272,0.457272,0.457272,0.43754,20,90.0
4,14.848,29,10,protocol,7.5,900,13222,14.6911,1365,1067,0.7816850000000001,0.665525,0.592217,0.542319,0.50873,0.463373,0.409385,0.409385,0.409385,0.409385,0.5233949999999999,20,90.0
5,17.92,35,10,protocol,7.5,900,14386,15.9844,1532,1187,0.774804,0.674269,0.614672,0.576415,0.544009,0.49862,0.442745,0.442745,0.442745,0.442745,0.531159,20,90.0
6,18.944000000000006,37,10,protocol,7.5,900,14421,16.0233,1554,1227,0.789575,0.680021,0.615027,0.577296,0.543733,0.49725,0.438817,0.438817,0.438817,0.438817,0.524034,20,90.0
7,14.336,28,10,protocol,7.5,900,13640,15.1556,1635,1242,0.759633,0.646857,0.584919,0.552082,0.515587,0.469579,0.408697,0.408697,0.408697,0.408697,0.514844,20,90.0
8,13.824000000000002,27,10,protocol,7.5,900,14440,16.0444,1668,1341,0.8039569999999999,0.67203,0.600604,0.565583,0.531511,0.487231,0.426319,0.426319,0.426319,0.426319,0.513879,20,90.0
9,16.384,32,10,protocol,7.5,900,14472,16.08,1756,1356,0.7722100000000001,0.661818,0.593206,0.558642,0.523154,0.477382,0.42277,0.42277,0.42277,0.42277,0.516713,20,90.0
10,20.48,40,10,protocol,7.5,900,13252,14.7244,1819,1375,0.7559100000000001,0.620785,0.5541590000000001,0.51372,0.4752,0.4298300000000001,0.380926,0.380926,0.380926,0.380926,0.5089739999999999,20,90.0
