SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,110.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,110.0
2,2.56,5,10,protocol,7.5,1100,18116,16.4691,2156,1691,0.784323,0.6505810000000001,0.57972,0.5280060000000001,0.489228,0.438632,0.388171,0.388171,0.388171,0.388171,0.390427,20,110.0
3,3.072,6,10,protocol,7.5,1100,16656,15.1418,2320,1671,0.720259,0.5992890000000001,0.532392,0.480008,0.439641,0.397492,0.35097399999999995,0.35097399999999995,0.35097399999999995,0.35097399999999995,0.49241,20,110.0
4,3.584,7,10,protocol,7.5,1100,17185,15.6227,2210,1650,0.746606,0.600668,0.530557,0.484185,0.446821,0.406309,0.358441,0.358441,0.358441,0.358441,0.564235,20,110.0
5,4.6080000000000005,9,10,protocol,7.5,1100,20755,18.8682,2167,1718,0.792801,0.673802,0.609286,0.5657770000000001,0.525352,0.479684,0.426964,0.426964,0.426964,0.426964,0.567033,20,110.0
6,4.6080000000000005,9,10,protocol,7.5,1100,17867,16.2427,2070,1524,0.736232,0.59993,0.529911,0.490518,0.451519,0.410115,0.362382,0.362382,0.362382,0.362382,0.558887,20,110.0
7,6.144,12,10,protocol,7.5,1100,19572,17.7927,2173,1697,0.780948,0.637169,0.5634979999999999,0.519165,0.4804560000000001,0.440999,0.393574,0.393574,0.393574,0.393574,0.568654,20,110.0
8,7.68,15,10,protocol,7.5,1100,19395,17.6318,2325,1781,0.766022,0.627288,0.5576270000000001,0.513625,0.477726,0.434807,0.38486,0.38486,0.38486,0.38486,0.574516,20,110.0
9,5.12,10,10,protocol,7.5,1100,20234,18.3945,2399,1813,0.755732,0.6399779999999999,0.5721109999999999,0.530134,0.493491,0.4477680000000001,0.396111,0.396111,0.396111,0.396111,0.577453,20,110.0
10,8.704,17,10,protocol,7.5,1100,20933,19.03,2417,1808,0.748035,0.630865,0.569867,0.529625,0.495607,0.453003,0.404421,0.404421,0.404421,0.404421,0.586925,20,110.0
11,9.728,19,10,protocol,7.5,1100,18823,17.1118,2542,1820,0.715972,0.589968,0.520371,0.483532,0.447669,0.404334,0.359191,0.359191,0.359191,0.359191,0.582874,20,110.0
12,8.192,16,10,protocol,7.5,1100,19313,17.5573,2509,1852,0.738143,0.594767,0.529045,0.487072,0.451684,0.407597,0.362774,0.362774,0.362774,0.362774,0.57948,20,110.0
13,8.192,16,10,protocol,7.5,1100,19731,17.9373,2510,1806,0.719522,0.589501,0.527408,0.491231,0.45668,0.4138020000000001,0.367917,0.367917,0.367917,0.367917,0.575418,20,110.0
14,9.728,19,10,protocol,7.5,1100,20134,18.3036,2445,1801,0.7366050000000001,0.612757,0.541586,0.505206,0.466156,0.419378,0.372288,0.372288,0.372288,0.372288,0.565555,20,110.0
15,9.728,19,10,protocol,7.5,1100,19772,17.9745,2484,1775,0.7145729999999999,0.584673,0.5158229999999999,0.481104,0.448068,0.406573,0.361999,0.361999,0.361999,0.361999,0.567823,20,110.0
16,10.24,20,10,protocol,7.5,1100,19621,17.8373,2624,1963,0.748095,0.61088,0.526223,0.488353,0.451232,0.402961,0.35888000000000003,0.35888000000000003,0.35888000000000003,0.35888000000000003,0.561051,20,110.0
17,10.24,20,10,protocol,7.5,1100,20558,18.6891,2614,1956,0.748279,0.614326,0.540041,0.499461,0.463565,0.418911,0.373777,0.373777,0.373777,0.373777,0.5576840000000001,20,110.0
18,12.288,24,10,protocol,7.5,1100,19423,17.6573,2732,2034,0.74451,0.5970439999999999,0.525095,0.471718,0.435963,0.39484,0.351891,0.351891,0.351891,0.351891,0.549474,20,110.0
19,10.24,20,10,protocol,7.5,1100,20235,18.3955,2648,1902,0.718278,0.5951350000000001,0.5265770000000001,0.48607,0.453827,0.408376,0.365691,0.365691,0.365691,0.365691,0.546822,20,110.0
20,12.8,25,10,protocol,7.5,1100,19605,17.8227,2714,1926,0.709654,0.577136,0.5223270000000001,0.473508,0.442011,0.396292,0.3504,0.3504,0.3504,0.3504,0.5401229999999999,20,110.0
21,14.336,28,10,protocol,7.5,1100,19637,17.8518,2678,1959,0.7315159999999999,0.578408,0.517146,0.4694,0.434642,0.392793,0.34984,0.34984,0.34984,0.34984,0.532984,20,110.0
22,12.8,25,10,protocol,7.5,1100,19948,18.1345,2782,2030,0.729691,0.581244,0.5178229999999999,0.471444,0.4374020000000001,0.396761,0.354763,0.354763,0.354763,0.354763,0.525822,20,110.0
23,6.6560000000000015,13,10,protocol,7.5,1100,16303,14.8209,2712,1760,0.648968,0.504171,0.438254,0.400406,0.36603,0.327876,0.290263,0.290263,0.290263,0.290263,0.534197,20,110.0
24,3.584,7,10,protocol,7.5,1100,20383,18.53,2947,2134,0.724126,0.6103569999999999,0.5276029999999999,0.485744,0.445482,0.407007,0.3627510000000001,0.3627510000000001,0.3627510000000001,0.3627510000000001,0.542523,20,110.0
25,4.096,8,10,protocol,7.5,1100,21726,19.7509,2957,2233,0.755157,0.6332720000000001,0.548469,0.506848,0.467138,0.429304,0.385517,0.385517,0.385517,0.385517,0.548504,20,110.0
