SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,190.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,190.0
2,2.048,4,10,protocol,7.5,1900,34964,18.4021,6091,3818,0.626826,0.453193,0.381595,0.339262,0.30809000000000003,0.271305,0.238608,0.238608,0.238608,0.238608,0.385419,20,190.0
3,5.6320000000000014,11,10,protocol,7.5,1900,34609,18.2153,6390,3761,0.588576,0.426684,0.359348,0.323359,0.294525,0.26261,0.232019,0.232019,0.232019,0.232019,0.4875100000000001,20,190.0
4,7.1679999999999975,14,10,protocol,7.5,1900,36331,19.1216,6305,3873,0.614274,0.454257,0.378142,0.33931100000000003,0.307604,0.272819,0.239785,0.239785,0.239785,0.239785,0.522543,20,190.0
5,10.24,20,10,protocol,7.5,1900,41801,22.0005,6671,4122,0.617898,0.468133,0.401343,0.366861,0.339118,0.306052,0.272181,0.272181,0.272181,0.272181,0.5213270000000001,20,190.0
6,8.704,17,10,protocol,7.5,1900,36112,19.0063,7083,4218,0.59551,0.438908,0.363705,0.321886,0.292917,0.261473,0.231952,0.231952,0.231952,0.231952,0.526263,20,190.0
7,14.848,29,10,protocol,7.5,1900,37055,19.5026,7290,4187,0.574348,0.426079,0.35685300000000003,0.322756,0.297232,0.26555700000000004,0.235193,0.235193,0.235193,0.235193,0.5232899999999999,20,190.0
8,13.312,26,10,protocol,7.5,1900,41530,21.8579,7468,4395,0.588511,0.438584,0.379469,0.349402,0.32538,0.293263,0.25978,0.25978,0.25978,0.25978,0.527784,20,190.0
9,9.728,19,10,protocol,7.5,1900,37287,19.6247,7517,4125,0.548756,0.405824,0.344027,0.312761,0.289634,0.259808,0.230375,0.230375,0.230375,0.230375,0.53369,20,190.0
10,7.68,15,10,protocol,7.5,1900,40528,21.3305,7853,4574,0.582453,0.436667,0.373307,0.34017800000000004,0.313193,0.279269,0.24813,0.24813,0.24813,0.24813,0.537366,20,190.0
11,12.8,25,10,protocol,7.5,1900,43202,22.7379,7922,4803,0.606286,0.453388,0.388788,0.356491,0.32871500000000003,0.293715,0.262093,0.262093,0.262093,0.262093,0.5384479999999999,20,190.0
12,6.6560000000000015,13,10,protocol,7.5,1900,39160,20.6105,8095,4376,0.5405810000000001,0.40786,0.34804,0.316948,0.293575,0.263705,0.235368,0.235368,0.235368,0.235368,0.539675,20,190.0
13,10.752,21,10,protocol,7.5,1900,42474,22.3547,8364,4642,0.554998,0.415508,0.363825,0.336446,0.313754,0.283065,0.253276,0.253276,0.253276,0.253276,0.540003,20,190.0
14,8.192,16,10,protocol,7.5,1900,39063,20.5595,8381,4747,0.5664,0.404343,0.341841,0.310419,0.285456,0.257334,0.2311570000000001,0.2311570000000001,0.2311570000000001,0.2311570000000001,0.538434,20,190.0
15,12.8,25,10,protocol,7.5,1900,34892,18.3642,8793,4594,0.522461,0.382658,0.320291,0.287192,0.260374,0.23093200000000005,0.205076,0.205076,0.205076,0.205076,0.532222,20,190.0
16,8.192,16,10,protocol,7.5,1900,40711,21.4268,9052,4931,0.544741,0.410224,0.352804,0.321363,0.29482,0.266052,0.237829,0.237829,0.237829,0.237829,0.530165,20,190.0
17,9.728,19,10,protocol,7.5,1900,38017,20.0089,9197,4788,0.520605,0.387146,0.329913,0.302948,0.279197,0.247955,0.220716,0.220716,0.220716,0.220716,0.5230130000000001,20,190.0
18,7.68,15,10,protocol,7.5,1900,33361,17.5584,9085,4299,0.473198,0.345401,0.291661,0.265833,0.2444260000000001,0.217382,0.193152,0.193152,0.193152,0.193152,0.518497,20,190.0
19,3.584,7,10,protocol,7.5,1900,38845,20.4447,8960,4319,0.482031,0.376025,0.325961,0.303154,0.279954,0.25100900000000004,0.22411,0.22411,0.22411,0.22411,0.520953,20,190.0
20,2.048,4,10,protocol,7.5,1900,28958,15.2411,9022,3791,0.420195,0.302098,0.257756,0.236138,0.216074,0.190316,0.166494,0.166494,0.166494,0.166494,0.5240859999999999,20,190.0
21,3.072,6,10,protocol,7.5,1900,35995,18.9447,8897,4388,0.4932,0.374338,0.31761100000000003,0.289124,0.263734,0.233591,0.206011,0.206011,0.206011,0.206011,0.526356,20,190.0
22,3.584,7,10,protocol,7.5,1900,38080,20.0421,8938,4715,0.527523,0.394416,0.335857,0.30295300000000003,0.274921,0.244618,0.216659,0.216659,0.216659,0.216659,0.528859,20,190.0
23,6.144,12,10,protocol,7.5,1900,45663,24.0332,8861,5200,0.586841,0.444844,0.381525,0.34588,0.31659,0.288024,0.258309,0.258309,0.258309,0.258309,0.530458,20,190.0
24,6.144,12,10,protocol,7.5,1900,42042,22.1274,8674,4655,0.5366609999999999,0.395338,0.341725,0.313052,0.290848,0.264416,0.23642600000000005,0.23642600000000005,0.23642600000000005,0.23642600000000005,0.5290739999999999,20,190.0
25,4.096,8,10,protocol,7.5,1900,38006,20.0032,8686,4550,0.523831,0.376744,0.3174,0.286862,0.263201,0.237785,0.213014,0.213014,0.213014,0.213014,0.5254270000000001,20,190.0
26,7.1679999999999975,14,10,protocol,7.5,1900,40488,21.3095,8648,4737,0.5477569999999999,0.402303,0.342459,0.309558,0.281918,0.252916,0.225997,0.225997,0.225997,0.225997,0.52153,20,190.0
27,7.68,15,10,protocol,7.5,1900,36016,18.9558,8716,4509,0.517324,0.363657,0.302887,0.274681,0.251337,0.224633,0.200852,0.200852,0.200852,0.200852,0.517712,20,190.0
28,5.6320000000000014,11,10,protocol,7.5,1900,39101,20.5795,8563,4490,0.524349,0.379602,0.320993,0.291551,0.269189,0.241913,0.218118,0.218118,0.218118,0.218118,0.515305,20,190.0
29,6.6560000000000015,13,10,protocol,7.5,1900,37427,19.6984,8462,4303,0.508509,0.369632,0.30943200000000004,0.27842100000000003,0.25663600000000003,0.230948,0.208348,0.208348,0.208348,0.208348,0.51088,20,190.0
30,8.192,16,10,protocol,7.5,1900,40027,21.0668,8606,4451,0.517197,0.373413,0.32032,0.293458,0.272446,0.24702,0.222256,0.222256,0.222256,0.222256,0.508476,20,190.0
31,8.704,17,10,protocol,7.5,1900,36341,19.1268,8943,4381,0.48988,0.353034,0.298531,0.2697,0.248508,0.224458,0.201396,0.201396,0.201396,0.201396,0.503687,20,190.0
32,7.68,15,10,protocol,7.5,1900,37907,19.9511,9143,4714,0.515586,0.374737,0.31302800000000003,0.282696,0.259767,0.234521,0.209718,0.209718,0.209718,0.209718,0.499025,20,190.0
33,7.1679999999999975,14,10,protocol,7.5,1900,36950,19.4474,8699,4265,0.490286,0.35132,0.297707,0.272013,0.251062,0.227861,0.204799,0.204799,0.204799,0.204799,0.497361,20,190.0
34,7.68,15,10,protocol,7.5,1900,39904,21.0021,8463,4383,0.5179010000000001,0.373858,0.318872,0.291995,0.27028800000000003,0.245536,0.22132,0.22132,0.22132,0.22132,0.498559,20,190.0
35,6.6560000000000015,13,10,protocol,7.5,1900,37961,19.9795,8427,4179,0.495906,0.35327,0.297763,0.270866,0.252777,0.232524,0.210772,0.210772,0.210772,0.210772,0.498572,20,190.0
36,8.704,17,10,protocol,7.5,1900,38981,20.5163,8868,4559,0.514096,0.363029,0.307914,0.280008,0.262208,0.239162,0.21572600000000008,0.21572600000000008,0.21572600000000008,0.21572600000000008,0.501003,20,190.0
37,11.264,22,10,protocol,7.5,1900,41723,21.9595,8982,4654,0.518147,0.378924,0.322897,0.294636,0.276969,0.25395700000000004,0.230523,0.230523,0.230523,0.230523,0.502598,20,190.0
38,11.776,23,10,protocol,7.5,1900,36457,19.1879,8751,4274,0.488401,0.33617800000000003,0.287558,0.261779,0.243929,0.222962,0.201553,0.201553,0.201553,0.201553,0.502937,20,190.0
39,14.336,28,10,protocol,7.5,1900,38563,20.2963,8609,4377,0.508421,0.359086,0.303963,0.278025,0.259579,0.235925,0.212971,0.212971,0.212971,0.212971,0.501373,20,190.0
40,17.92,35,10,protocol,7.5,1900,36393,19.1542,8675,4200,0.48415,0.340791,0.292198,0.267789,0.24823,0.22462,0.200963,0.200963,0.200963,0.200963,0.498363,20,190.0
