SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,120.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,120.0
2,5.12,10,10,protocol,7.5,1200,19735,16.4458,2556,1912,0.7480439999999999,0.620188,0.547425,0.498805,0.453671,0.400236,0.34844400000000003,0.34844400000000003,0.34844400000000003,0.34844400000000003,0.398009,20,120.0
3,9.216,18,10,protocol,7.5,1200,21131,17.6092,2580,1888,0.731783,0.618835,0.562395,0.514051,0.472824,0.420367,0.365886,0.365886,0.365886,0.365886,0.4446810000000001,20,120.0
4,8.192,16,10,protocol,7.5,1200,18632,15.5267,2627,1799,0.684812,0.553491,0.487605,0.434178,0.399479,0.362373,0.318093,0.318093,0.318093,0.318093,0.537924,20,120.0
5,15.872,31,10,protocol,7.5,1200,21528,17.94,2920,2088,0.715068,0.6174649999999999,0.553257,0.501401,0.462817,0.414797,0.361821,0.361821,0.361821,0.361821,0.544702,20,120.0
6,14.848,29,10,protocol,7.5,1200,21260,17.7167,3114,2266,0.727681,0.606255,0.5430619999999999,0.487566,0.4486270000000001,0.404572,0.35261,0.35261,0.35261,0.35261,0.542552,20,120.0
7,12.288,24,10,protocol,7.5,1200,18935,15.7792,3043,2086,0.685508,0.547025,0.478284,0.42548,0.392426,0.354977,0.310339,0.310339,0.310339,0.310339,0.542148,20,120.0
8,14.336,28,10,protocol,7.5,1200,20612,17.1767,2876,2057,0.715229,0.5594359999999999,0.498533,0.454664,0.42309,0.382144,0.33426300000000003,0.33426300000000003,0.33426300000000003,0.33426300000000003,0.5290239999999999,20,120.0
9,15.36,30,10,protocol,7.5,1200,21343,17.7858,2839,1970,0.693906,0.560431,0.501054,0.4598310000000001,0.427324,0.38665,0.340189,0.340189,0.340189,0.340189,0.5261279999999999,20,120.0
10,13.824000000000002,27,10,protocol,7.5,1200,21139,17.6158,2798,1952,0.697641,0.563697,0.494501,0.455025,0.42086,0.37805,0.332856,0.332856,0.332856,0.332856,0.520138,20,120.0
11,16.896,33,10,protocol,7.5,1200,23460,19.55,2790,2030,0.727599,0.601236,0.52725,0.488028,0.455619,0.410642,0.365394,0.365394,0.365394,0.365394,0.525845,20,120.0
12,12.288,24,10,protocol,7.5,1200,23699,19.7492,2696,1940,0.719585,0.598113,0.527932,0.488955,0.458754,0.410778,0.364356,0.364356,0.364356,0.364356,0.5271319999999999,20,120.0
