SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,40.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,40.0
2,4.096,8,10,protocol,7.5,400,4406,11.015,286,262,0.916084,0.895492,0.873927,0.844052,0.8159390000000001,0.764706,0.701497,0.701497,0.701497,0.701497,0.437388,20,40.0
3,9.216,18,10,protocol,7.5,400,4206,10.515,358,323,0.902235,0.8618290000000001,0.8417459999999999,0.807213,0.7763100000000001,0.725954,0.6615260000000001,0.6615260000000001,0.6615260000000001,0.6615260000000001,0.4531850000000001,20,40.0
4,13.824000000000002,27,10,protocol,7.5,400,4368,10.92,334,296,0.886228,0.8689020000000001,0.874475,0.843875,0.798791,0.749096,0.68277,0.68277,0.68277,0.68277,0.471551,20,40.0
5,15.872,31,10,protocol,7.5,400,4471,11.1775,348,318,0.913793,0.8798450000000001,0.8714059999999999,0.8391770000000001,0.806459,0.7587010000000001,0.6993119999999999,0.6993119999999999,0.6993119999999999,0.6993119999999999,0.448942,20,40.0
6,17.408,34,10,protocol,7.5,400,4478,11.195,282,261,0.925532,0.885797,0.8652299999999999,0.833125,0.800258,0.756612,0.684613,0.684613,0.684613,0.684613,0.43901,20,40.0
7,15.872,31,10,protocol,7.5,400,4509,11.2725,262,231,0.8816790000000001,0.873469,0.855769,0.824274,0.797609,0.753196,0.683086,0.683086,0.683086,0.683086,0.477308,20,40.0
8,15.36,30,10,protocol,7.5,400,4482,11.205,232,210,0.905172,0.859959,0.832707,0.8049350000000001,0.782054,0.739038,0.6699579999999999,0.6699579999999999,0.6699579999999999,0.6699579999999999,0.473049,20,40.0
9,17.408,34,10,protocol,7.5,400,4757,11.8925,232,204,0.87931,0.880117,0.8591549999999999,0.838184,0.814214,0.772015,0.6985899999999999,0.6985899999999999,0.6985899999999999,0.6985899999999999,0.470059,20,40.0
10,14.848,29,10,protocol,7.5,400,4476,11.19,248,224,0.903226,0.8516379999999999,0.815103,0.793802,0.767754,0.721463,0.656397,0.656397,0.656397,0.656397,0.492185,20,40.0
11,18.432,36,10,protocol,7.5,400,4741,11.8525,263,248,0.942966,0.893805,0.85798,0.8342040000000001,0.810612,0.754777,0.689209,0.689209,0.689209,0.689209,0.495306,20,40.0
12,16.384,32,10,protocol,7.5,400,4724,11.81,244,225,0.922131,0.844118,0.8226399999999999,0.803288,0.78564,0.7429140000000001,0.687136,0.687136,0.687136,0.687136,0.494918,20,40.0
13,16.384,32,10,protocol,7.5,400,4841,12.1025,229,213,0.930131,0.864641,0.8334879999999999,0.814909,0.7991050000000001,0.758494,0.697721,0.697721,0.697721,0.697721,0.497904,20,40.0
14,17.408,34,10,protocol,7.5,400,4987,12.4675,266,246,0.924812,0.896243,0.867049,0.8397399999999999,0.8118449999999999,0.7752399999999999,0.702947,0.702947,0.702947,0.702947,0.495279,20,40.0
15,14.848,29,10,protocol,7.5,400,4937,12.3425,247,222,0.8987850000000001,0.8780709999999999,0.845217,0.8212940000000001,0.7900020000000001,0.756423,0.690166,0.690166,0.690166,0.690166,0.496136,20,40.0
16,15.36,30,10,protocol,7.5,400,4848,12.12,242,210,0.867769,0.836607,0.816951,0.7955760000000001,0.774482,0.7399399999999999,0.674506,0.674506,0.674506,0.674506,0.506605,20,40.0
