SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,170.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,170.0
2,3.072,6,10,protocol,7.5,1700,31782,18.6953,4824,3081,0.638682,0.490261,0.414644,0.377829,0.346264,0.30821,0.270217,0.270217,0.270217,0.270217,0.369956,20,170.0
3,5.6320000000000014,11,10,protocol,7.5,1700,29800,17.5294,4943,3128,0.632814,0.472738,0.396405,0.35257,0.318648,0.28389000000000003,0.249642,0.249642,0.249642,0.249642,0.456089,20,170.0
4,7.1679999999999975,14,10,protocol,7.5,1700,28063,16.5076,4905,2895,0.590214,0.44873,0.375527,0.335696,0.302117,0.265619,0.232141,0.232141,0.232141,0.232141,0.519695,20,170.0
5,6.6560000000000015,13,10,protocol,7.5,1700,33213,19.5371,4879,3196,0.6550520000000001,0.4915890000000001,0.416853,0.372936,0.340444,0.306368,0.271661,0.271661,0.271661,0.271661,0.5409189999999999,20,170.0
6,5.6320000000000014,11,10,protocol,7.5,1700,30728,18.0753,5084,3117,0.6131,0.470594,0.393241,0.351648,0.316838,0.282558,0.248154,0.248154,0.248154,0.248154,0.553289,20,170.0
7,10.24,20,10,protocol,7.5,1700,33583,19.7547,5224,3334,0.638208,0.475671,0.404386,0.364917,0.335663,0.303289,0.267969,0.267969,0.267969,0.267969,0.554327,20,170.0
8,4.6080000000000005,9,10,protocol,7.5,1700,34780,20.4588,5430,3423,0.630387,0.489224,0.418779,0.378964,0.345729,0.309948,0.274093,0.274093,0.274093,0.274093,0.557756,20,170.0
9,9.216,18,10,protocol,7.5,1700,38275,22.5147,5775,3744,0.648312,0.501341,0.433998,0.399237,0.371183,0.33734699999999995,0.298291,0.298291,0.298291,0.298291,0.557581,20,170.0
10,7.1679999999999975,14,10,protocol,7.5,1700,38445,22.6147,5947,3885,0.653271,0.509722,0.439897,0.402803,0.372709,0.334641,0.295915,0.295915,0.295915,0.295915,0.55783,20,170.0
11,3.072,6,10,protocol,7.5,1700,37774,22.22,5887,3791,0.643961,0.494136,0.431113,0.39023,0.360401,0.32542,0.28849600000000003,0.28849600000000003,0.28849600000000003,0.28849600000000003,0.5601520000000001,20,170.0
12,4.096,8,10,protocol,7.5,1700,32182,18.9306,5746,3433,0.597459,0.444672,0.372757,0.337004,0.308531,0.275431,0.243648,0.243648,0.243648,0.243648,0.5619,20,170.0
13,5.12,10,10,protocol,7.5,1700,34525,20.3088,5873,3522,0.599694,0.4515020000000001,0.388009,0.355324,0.328122,0.292732,0.259441,0.259441,0.259441,0.259441,0.563168,20,170.0
14,3.584,7,10,protocol,7.5,1700,35962,21.1541,6254,3729,0.596258,0.455637,0.397289,0.361179,0.333593,0.300304,0.268335,0.268335,0.268335,0.268335,0.564026,20,170.0
15,3.584,7,10,protocol,7.5,1700,35582,20.9306,6443,3734,0.579544,0.451801,0.390078,0.356314,0.329481,0.295683,0.263733,0.263733,0.263733,0.263733,0.563976,20,170.0
16,4.096,8,10,protocol,7.5,1700,37779,22.2229,6552,3974,0.606532,0.481152,0.41671,0.379188,0.348011,0.311206,0.278475,0.278475,0.278475,0.278475,0.563603,20,170.0
17,4.6080000000000005,9,10,protocol,7.5,1700,39374,23.1612,6354,3941,0.620239,0.484407,0.414119,0.381681,0.352107,0.32005700000000004,0.28894200000000003,0.28894200000000003,0.28894200000000003,0.28894200000000003,0.563271,20,170.0
18,2.048,4,10,protocol,7.5,1700,39510,23.2412,6414,4046,0.630808,0.4845350000000001,0.41308,0.378724,0.351479,0.319681,0.288742,0.288742,0.288742,0.288742,0.563449,20,170.0
19,3.584,7,10,protocol,7.5,1700,36272,21.3365,6479,3822,0.589906,0.440946,0.378137,0.34486700000000003,0.320764,0.292752,0.263618,0.263618,0.263618,0.263618,0.5617989999999999,20,170.0
20,7.68,15,10,protocol,7.5,1700,36641,21.5535,6487,3814,0.5879449999999999,0.449345,0.38291,0.350984,0.322058,0.29480100000000004,0.26576900000000003,0.26576900000000003,0.26576900000000003,0.26576900000000003,0.557856,20,170.0
21,6.144,12,10,protocol,7.5,1700,37964,22.3318,6474,4189,0.64705,0.480554,0.405343,0.368465,0.337364,0.30640700000000004,0.275113,0.275113,0.275113,0.275113,0.555982,20,170.0
22,4.6080000000000005,9,10,protocol,7.5,1700,33433,19.6665,6906,3852,0.557776,0.414115,0.347511,0.31499,0.291476,0.26757600000000004,0.241309,0.241309,0.241309,0.241309,0.552864,20,170.0
23,3.584,7,10,protocol,7.5,1700,36684,21.5788,6915,4004,0.5790310000000001,0.445534,0.381664,0.347472,0.320378,0.293268,0.26326,0.26326,0.26326,0.26326,0.551132,20,170.0
24,4.096,8,10,protocol,7.5,1700,35462,20.86,6840,3849,0.562719,0.433737,0.370444,0.336546,0.31185300000000005,0.28331,0.252936,0.252936,0.252936,0.252936,0.548517,20,170.0
25,4.6080000000000005,9,10,protocol,7.5,1700,37415,22.0088,6767,3952,0.584011,0.431282,0.373894,0.347441,0.323596,0.296108,0.26615900000000003,0.26615900000000003,0.26615900000000003,0.26615900000000003,0.545806,20,170.0
26,5.12,10,10,protocol,7.5,1700,32647,19.2041,6807,3710,0.545027,0.394422,0.335549,0.30717300000000003,0.285031,0.257989,0.231823,0.231823,0.231823,0.231823,0.543076,20,170.0
27,7.68,15,10,protocol,7.5,1700,32525,19.1324,6780,3581,0.5281710000000001,0.39294,0.333718,0.306221,0.282996,0.256579,0.230747,0.230747,0.230747,0.230747,0.540935,20,170.0
28,6.144,12,10,protocol,7.5,1700,32467,19.0982,6633,3588,0.540932,0.392511,0.333875,0.305641,0.283537,0.255703,0.229885,0.229885,0.229885,0.229885,0.536768,20,170.0
29,8.704,17,10,protocol,7.5,1700,33242,19.5541,6420,3555,0.5537380000000001,0.404104,0.344,0.313051,0.288838,0.261085,0.234765,0.234765,0.234765,0.234765,0.532299,20,170.0
30,8.192,16,10,protocol,7.5,1700,33490,19.7,6161,3526,0.57231,0.415762,0.345588,0.315189,0.291216,0.262502,0.235763,0.235763,0.235763,0.235763,0.5279149999999999,20,170.0
