SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,140.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,140.0
2,2.048,4,10,protocol,7.5,1400,23809,17.0064,3518,2554,0.725981,0.5761930000000001,0.493152,0.442712,0.401122,0.353688,0.31003400000000003,0.31003400000000003,0.31003400000000003,0.31003400000000003,0.386298,20,140.0
3,4.6080000000000005,9,10,protocol,7.5,1400,23295,16.6393,3771,2552,0.676744,0.551437,0.467092,0.422165,0.382542,0.338579,0.29872600000000005,0.29872600000000005,0.29872600000000005,0.29872600000000005,0.493445,20,140.0
4,3.584,7,10,protocol,7.5,1400,24600,17.5714,3655,2611,0.714364,0.5544520000000001,0.477153,0.43454,0.395982,0.350812,0.309807,0.309807,0.309807,0.309807,0.5468270000000001,20,140.0
5,3.072,6,10,protocol,7.5,1400,23526,16.8043,3575,2368,0.662378,0.537759,0.465715,0.419462,0.37845,0.332866,0.292345,0.292345,0.292345,0.292345,0.571786,20,140.0
6,5.6320000000000014,11,10,protocol,7.5,1400,28895,20.6393,3452,2515,0.728563,0.600412,0.535518,0.491046,0.44849,0.399237,0.354493,0.354493,0.354493,0.354493,0.579913,20,140.0
7,10.24,20,10,protocol,7.5,1400,27098,19.3557,3398,2527,0.7436729999999999,0.564736,0.490228,0.449328,0.414891,0.372236,0.32807800000000004,0.32807800000000004,0.32807800000000004,0.32807800000000004,0.583936,20,140.0
8,9.216,18,10,protocol,7.5,1400,27270,19.4786,3518,2495,0.70921,0.563574,0.487235,0.446832,0.4128810000000001,0.371498,0.32779899999999995,0.32779899999999995,0.32779899999999995,0.32779899999999995,0.589658,20,140.0
9,10.24,20,10,protocol,7.5,1400,26811,19.1507,3434,2429,0.707338,0.542928,0.470779,0.433951,0.400052,0.360878,0.319033,0.319033,0.319033,0.319033,0.577541,20,140.0
10,12.8,25,10,protocol,7.5,1400,26240,18.7429,3613,2474,0.68475,0.543187,0.466013,0.4231470000000001,0.388893,0.349998,0.309023,0.309023,0.309023,0.309023,0.5745239999999999,20,140.0
11,12.288,24,10,protocol,7.5,1400,24632,17.5943,3763,2539,0.674728,0.525746,0.444881,0.400675,0.36543,0.326614,0.287509,0.287509,0.287509,0.287509,0.56065,20,140.0
12,12.288,24,10,protocol,7.5,1400,26526,18.9471,3824,2632,0.688285,0.531591,0.451697,0.410355,0.382365,0.345578,0.30795,0.30795,0.30795,0.30795,0.558565,20,140.0
