SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,80.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,80.0
2,2.56,5,10,protocol,7.5,800,11993,14.9913,1037,879,0.8476370000000001,0.750254,0.681122,0.637205,0.6022430000000001,0.5437960000000001,0.483719,0.483719,0.483719,0.483719,0.390245,20,80.0
3,11.264,22,10,protocol,7.5,800,11547,14.4337,1100,912,0.829091,0.715126,0.63893,0.59386,0.5617949999999999,0.513165,0.462059,0.462059,0.462059,0.462059,0.442022,20,80.0
4,19.456,38,10,protocol,7.5,800,11527,14.4087,1137,953,0.8381709999999999,0.730548,0.641081,0.587963,0.5536310000000001,0.504021,0.454474,0.454474,0.454474,0.454474,0.484444,20,80.0
5,16.896,33,10,protocol,7.5,800,12028,15.035,1127,922,0.818101,0.716435,0.643624,0.603404,0.567684,0.522112,0.4659100000000001,0.4659100000000001,0.4659100000000001,0.4659100000000001,0.473187,20,80.0
6,16.384,32,10,protocol,7.5,800,12530,15.6625,1243,1055,0.8487530000000001,0.723328,0.654329,0.615667,0.582913,0.53913,0.479149,0.479149,0.479149,0.479149,0.472561,20,80.0
7,15.36,30,10,protocol,7.5,800,12915,16.1438,1267,1090,0.8603,0.739209,0.667327,0.630031,0.593585,0.548133,0.4869729999999999,0.4869729999999999,0.4869729999999999,0.4869729999999999,0.460019,20,80.0
8,14.336,28,10,protocol,7.5,800,12479,15.5988,1219,957,0.7850699999999999,0.689588,0.629934,0.589899,0.5614600000000001,0.5184310000000001,0.46499,0.46499,0.46499,0.46499,0.447313,20,80.0
9,14.336,28,10,protocol,7.5,800,12531,15.6638,1360,1128,0.829412,0.721008,0.650853,0.604141,0.5732510000000001,0.518826,0.461995,0.461995,0.461995,0.461995,0.44027,20,80.0
10,13.312,26,10,protocol,7.5,800,11921,14.9012,1334,1039,0.7788609999999999,0.6758,0.603162,0.565714,0.533098,0.484784,0.434409,0.434409,0.434409,0.434409,0.476428,20,80.0
11,15.36,30,10,protocol,7.5,800,12254,15.3175,1461,1100,0.752909,0.673419,0.6136199999999999,0.5755399999999999,0.543349,0.493099,0.443885,0.443885,0.443885,0.443885,0.471628,20,80.0
12,17.92,35,10,protocol,7.5,800,13313,16.6412,1452,1182,0.81405,0.716895,0.645763,0.611563,0.5794189999999999,0.530699,0.476584,0.476584,0.476584,0.476584,0.46253,20,80.0
13,16.384,32,10,protocol,7.5,800,12192,15.24,1387,1127,0.812545,0.672358,0.599776,0.556902,0.52647,0.481022,0.432229,0.432229,0.432229,0.432229,0.472686,20,80.0
14,14.336,28,10,protocol,7.5,800,13228,16.535,1350,1085,0.803704,0.705778,0.644842,0.604562,0.570112,0.5251170000000001,0.470745,0.470745,0.470745,0.470745,0.474447,20,80.0
15,12.288,24,10,protocol,7.5,800,13252,16.565,1328,1066,0.802711,0.673773,0.6159560000000001,0.587069,0.560596,0.519543,0.467172,0.467172,0.467172,0.467172,0.483866,20,80.0
16,13.824000000000002,27,10,protocol,7.5,800,12601,15.7513,1391,1018,0.7318479999999999,0.647275,0.59367,0.5612779999999999,0.535273,0.49252,0.443193,0.443193,0.443193,0.443193,0.4879060000000001,20,80.0
17,14.336,28,10,protocol,7.5,800,12784,15.98,1488,1110,0.7459680000000001,0.652884,0.594754,0.5599609999999999,0.5295449999999999,0.490945,0.445254,0.445254,0.445254,0.445254,0.4919600000000001,20,80.0
18,12.288,24,10,protocol,7.5,800,12357,15.4462,1487,1107,0.744452,0.635026,0.578551,0.5547340000000001,0.5232760000000001,0.47626,0.426162,0.426162,0.426162,0.426162,0.495422,20,80.0
19,14.336,28,10,protocol,7.5,800,12982,16.2275,1460,1142,0.782192,0.685113,0.606096,0.575036,0.541611,0.497815,0.444882,0.444882,0.444882,0.444882,0.5026729999999999,20,80.0
20,17.92,35,10,protocol,7.5,800,13681,17.1013,1388,1129,0.813401,0.696663,0.632046,0.6021380000000001,0.570281,0.520788,0.4674180000000001,0.4674180000000001,0.4674180000000001,0.4674180000000001,0.500063,20,80.0
21,18.432,36,10,protocol,7.5,800,13441,16.8012,1233,968,0.785077,0.679329,0.61859,0.591838,0.563641,0.514221,0.4604470000000001,0.4604470000000001,0.4604470000000001,0.4604470000000001,0.497082,20,80.0
22,12.288,24,10,protocol,7.5,800,13910,17.3875,1230,994,0.80813,0.695955,0.6389630000000001,0.60702,0.5797,0.530606,0.476383,0.476383,0.476383,0.476383,0.4970520000000001,20,80.0
23,9.728,19,10,protocol,7.5,800,13040,16.3,1266,987,0.779621,0.668721,0.601849,0.568752,0.542463,0.4990520000000001,0.447469,0.447469,0.447469,0.447469,0.494304,20,80.0
24,10.24,20,10,protocol,7.5,800,13265,16.5813,1403,1060,0.755524,0.667474,0.606323,0.573537,0.544808,0.5068229999999999,0.45294,0.45294,0.45294,0.45294,0.492451,20,80.0
