SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,150.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,150.0
2,3.072,6,10,protocol,7.5,1500,26199,17.465999999999998,3631,2579,0.7102729999999999,0.550323,0.473763,0.423708,0.38293,0.337775,0.295572,0.295572,0.295572,0.295572,0.380696,20,150.0
3,9.728,19,10,protocol,7.5,1500,25197,16.798,3624,2396,0.661148,0.502351,0.427212,0.386071,0.352638,0.316633,0.27894800000000003,0.27894800000000003,0.27894800000000003,0.27894800000000003,0.455585,20,150.0
4,14.336,28,10,protocol,7.5,1500,26063,17.3753,3649,2387,0.6541520000000001,0.507202,0.429886,0.394035,0.362719,0.324371,0.285219,0.285219,0.285219,0.285219,0.519292,20,150.0
5,8.704,17,10,protocol,7.5,1500,27131,18.0873,3902,2547,0.652742,0.522365,0.451171,0.408092,0.373286,0.331877,0.29275,0.29275,0.29275,0.29275,0.546932,20,150.0
6,9.216,18,10,protocol,7.5,1500,30976,20.6507,3877,2704,0.697446,0.564449,0.491728,0.447617,0.412763,0.373414,0.32917,0.32917,0.32917,0.32917,0.548195,20,150.0
7,5.6320000000000014,11,10,protocol,7.5,1500,26362,17.5747,4141,2573,0.621348,0.488398,0.418164,0.380734,0.351852,0.31511300000000003,0.276666,0.276666,0.276666,0.276666,0.557125,20,150.0
8,5.6320000000000014,11,10,protocol,7.5,1500,30825,20.55,4377,2996,0.684487,0.550556,0.475879,0.433717,0.398403,0.359557,0.319791,0.319791,0.319791,0.319791,0.562064,20,150.0
9,4.6080000000000005,9,10,protocol,7.5,1500,31990,21.3267,4339,3045,0.701775,0.542909,0.475567,0.44014,0.406231,0.368813,0.328479,0.328479,0.328479,0.328479,0.565084,20,150.0
10,2.56,5,10,protocol,7.5,1500,27446,18.2973,4529,2837,0.626408,0.4927470000000001,0.426914,0.386648,0.351642,0.314096,0.277672,0.277672,0.277672,0.277672,0.572261,20,150.0
11,9.216,18,10,protocol,7.5,1500,32101,21.4007,4713,3155,0.669425,0.5368069999999999,0.471215,0.432053,0.400219,0.361365,0.32123,0.32123,0.32123,0.32123,0.574102,20,150.0
12,5.6320000000000014,11,10,protocol,7.5,1500,28750,19.1667,4687,2895,0.6176659999999999,0.5055390000000001,0.434954,0.393879,0.363303,0.322061,0.285208,0.285208,0.285208,0.285208,0.577222,20,150.0
13,7.1679999999999975,14,10,protocol,7.5,1500,34420,22.9467,4338,3054,0.7040109999999999,0.5677810000000001,0.495409,0.456774,0.421629,0.379363,0.338654,0.338654,0.338654,0.338654,0.578774,20,150.0
14,11.264,22,10,protocol,7.5,1500,31394,20.9293,4249,2916,0.686279,0.5262100000000001,0.45207,0.407727,0.377586,0.3437,0.306559,0.306559,0.306559,0.306559,0.578349,20,150.0
15,10.24,20,10,protocol,7.5,1500,29506,19.6707,4133,2728,0.660053,0.498311,0.423382,0.38289,0.354241,0.322011,0.288306,0.288306,0.288306,0.288306,0.578737,20,150.0
16,13.312,26,10,protocol,7.5,1500,27950,18.6333,4189,2628,0.6273569999999999,0.4623100000000001,0.397336,0.362756,0.335025,0.30278,0.272056,0.272056,0.272056,0.272056,0.5756359999999999,20,150.0
17,10.752,21,10,protocol,7.5,1500,31618,21.0787,4227,2777,0.656967,0.495376,0.4300560000000001,0.397712,0.369104,0.33823800000000004,0.306515,0.306515,0.306515,0.306515,0.575137,20,150.0
18,12.8,25,10,protocol,7.5,1500,31116,20.744,4361,2793,0.6404489999999999,0.494429,0.426212,0.39114,0.362642,0.332716,0.300993,0.300993,0.300993,0.300993,0.5722149999999999,20,150.0
19,14.336,28,10,protocol,7.5,1500,30077,20.0513,4410,2845,0.645125,0.493207,0.42014,0.383499,0.356164,0.322261,0.290704,0.290704,0.290704,0.290704,0.566284,20,150.0
20,9.728,19,10,protocol,7.5,1500,30662,20.4413,4652,3071,0.660146,0.498516,0.426542,0.389248,0.359668,0.326114,0.295676,0.295676,0.295676,0.295676,0.56377,20,150.0
21,13.312,26,10,protocol,7.5,1500,28062,18.708,4955,3220,0.649849,0.469962,0.392931,0.355539,0.330216,0.29936,0.270432,0.270432,0.270432,0.270432,0.5577810000000001,20,150.0
22,11.776,23,10,protocol,7.5,1500,27982,18.6547,4933,3190,0.6466649999999999,0.471106,0.397336,0.361002,0.332749,0.299302,0.268453,0.268453,0.268453,0.268453,0.5522050000000001,20,150.0
23,13.824000000000002,27,10,protocol,7.5,1500,28550,19.0333,4814,3003,0.6238060000000001,0.473866,0.404983,0.366125,0.336406,0.304949,0.273838,0.273838,0.273838,0.273838,0.549779,20,150.0
24,14.336,28,10,protocol,7.5,1500,28820,19.2133,5035,3190,0.6335649999999999,0.488054,0.410054,0.372608,0.343054,0.307642,0.276481,0.276481,0.276481,0.276481,0.545038,20,150.0
25,10.752,21,10,protocol,7.5,1500,31712,21.1413,5050,3410,0.675248,0.531017,0.450601,0.4100180000000001,0.378329,0.337493,0.303724,0.303724,0.303724,0.303724,0.543326,20,150.0
26,10.24,20,10,protocol,7.5,1500,26629,17.7527,5222,3060,0.585982,0.451494,0.381916,0.344003,0.316245,0.284204,0.254914,0.254914,0.254914,0.254914,0.5452239999999999,20,150.0
27,14.848,29,10,protocol,7.5,1500,34322,22.8813,5091,3434,0.674524,0.54605,0.472544,0.432033,0.400799,0.364985,0.329239,0.329239,0.329239,0.329239,0.5477609999999999,20,150.0
28,16.384,32,10,protocol,7.5,1500,33015,22.01,4975,3263,0.655879,0.513836,0.445609,0.412723,0.383198,0.350895,0.317513,0.317513,0.317513,0.317513,0.54707,20,150.0
29,12.8,25,10,protocol,7.5,1500,29448,19.632,5054,3174,0.628017,0.487754,0.414112,0.377079,0.348085,0.316856,0.283656,0.283656,0.283656,0.283656,0.546846,20,150.0
30,15.36,30,10,protocol,7.5,1500,27192,18.128,4914,2933,0.596866,0.457176,0.386906,0.349615,0.322957,0.292252,0.262935,0.262935,0.262935,0.262935,0.544817,20,150.0
31,14.336,28,10,protocol,7.5,1500,26332,17.5547,4709,2963,0.629221,0.458497,0.383674,0.34610100000000005,0.315922,0.284061,0.255,0.255,0.255,0.255,0.542223,20,150.0
32,13.312,26,10,protocol,7.5,1500,29801,19.8673,4701,3056,0.6500739999999999,0.4996850000000001,0.423274,0.386527,0.357759,0.322035,0.28843,0.28843,0.28843,0.28843,0.541367,20,150.0
33,17.408,34,10,protocol,7.5,1500,28406,18.9373,4740,2948,0.621941,0.489515,0.409642,0.367164,0.338098,0.305799,0.27562800000000004,0.27562800000000004,0.27562800000000004,0.27562800000000004,0.53876,20,150.0
34,14.336,28,10,protocol,7.5,1500,28088,18.7253,4666,2964,0.635234,0.472848,0.403874,0.365298,0.335407,0.30285,0.27277,0.27277,0.27277,0.27277,0.537162,20,150.0
35,15.872,31,10,protocol,7.5,1500,28443,18.962,4735,2908,0.61415,0.468046,0.403357,0.365612,0.338168,0.306312,0.2756,0.2756,0.2756,0.2756,0.5356890000000001,20,150.0
36,16.896,33,10,protocol,7.5,1500,28681,19.1207,4829,3109,0.6438189999999999,0.486725,0.412953,0.375626,0.343905,0.309685,0.277964,0.277964,0.277964,0.277964,0.531856,20,150.0
37,14.336,28,10,protocol,7.5,1500,30147,20.098,4720,3023,0.640466,0.483031,0.422113,0.386846,0.359297,0.325221,0.291763,0.291763,0.291763,0.291763,0.5293479999999999,20,150.0
38,14.336,28,10,protocol,7.5,1500,27977,18.6513,4898,3066,0.62597,0.465561,0.395377,0.360467,0.334737,0.301695,0.270755,0.270755,0.270755,0.270755,0.52556,20,150.0
39,13.824000000000002,27,10,protocol,7.5,1500,28135,18.7567,4995,3065,0.613614,0.470073,0.398354,0.361375,0.332919,0.301675,0.271608,0.271608,0.271608,0.271608,0.524529,20,150.0
40,14.336,28,10,protocol,7.5,1500,26808,17.872,4937,2941,0.5957060000000001,0.4522350000000001,0.386789,0.352074,0.32278,0.289195,0.258342,0.258342,0.258342,0.258342,0.5231560000000001,20,150.0
41,10.752,21,10,protocol,7.5,1500,26696,17.7973,4813,2877,0.5977560000000001,0.446458,0.384861,0.347125,0.320052,0.28791500000000003,0.256245,0.256245,0.256245,0.256245,0.523471,20,150.0
42,13.824000000000002,27,10,protocol,7.5,1500,30540,20.36,4610,2892,0.627332,0.481926,0.417425,0.384674,0.358331,0.326135,0.293241,0.293241,0.293241,0.293241,0.52266,20,150.0
43,14.336,28,10,protocol,7.5,1500,26124,17.416,4489,2680,0.597015,0.438976,0.376165,0.341668,0.314572,0.280992,0.250761,0.250761,0.250761,0.250761,0.521297,20,150.0
