SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,180.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,180.0
2,4.096,8,10,protocol,7.5,1800,32546,18.0811,5222,3363,0.6440060000000001,0.473586,0.399704,0.353987,0.320673,0.281847,0.246312,0.246312,0.246312,0.246312,0.3633,20,180.0
3,10.24,20,10,protocol,7.5,1800,30748,17.0822,5625,3326,0.5912890000000001,0.432523,0.363621,0.322077,0.294065,0.260604,0.229571,0.229571,0.229571,0.229571,0.435408,20,180.0
4,7.1679999999999975,14,10,protocol,7.5,1800,32202,17.89,5770,3551,0.615425,0.4649970000000001,0.38681,0.342763,0.308754,0.270481,0.237161,0.237161,0.237161,0.237161,0.466168,20,180.0
5,7.1679999999999975,14,10,protocol,7.5,1800,33825,18.7917,5753,3540,0.6153310000000001,0.464842,0.387659,0.34744200000000003,0.314217,0.278934,0.245985,0.245985,0.245985,0.245985,0.497188,20,180.0
6,8.192,16,10,protocol,7.5,1800,33435,18.575,5639,3443,0.6105689999999999,0.452743,0.379029,0.337929,0.30653800000000003,0.272536,0.24047800000000005,0.24047800000000005,0.24047800000000005,0.24047800000000005,0.510359,20,180.0
7,5.6320000000000014,11,10,protocol,7.5,1800,37208,20.6711,5811,3692,0.635347,0.470665,0.401806,0.365173,0.333691,0.299768,0.26534800000000003,0.26534800000000003,0.26534800000000003,0.26534800000000003,0.518744,20,180.0
8,6.6560000000000015,13,10,protocol,7.5,1800,31308,17.3933,5875,3403,0.579234,0.409163,0.338006,0.30682,0.278775,0.250248,0.221834,0.221834,0.221834,0.221834,0.5202479999999999,20,180.0
9,8.192,16,10,protocol,7.5,1800,33349,18.5272,6017,3567,0.59282,0.431916,0.357551,0.320457,0.292396,0.26410300000000003,0.2338260000000001,0.2338260000000001,0.2338260000000001,0.2338260000000001,0.5197,20,180.0
