SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,130.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,130.0
2,3.584,7,10,protocol,7.5,1300,22996,17.6892,2983,2243,0.7519279999999999,0.6213810000000001,0.5310590000000001,0.481734,0.441122,0.391161,0.340194,0.340194,0.340194,0.340194,0.402606,20,130.0
3,8.704,17,10,protocol,7.5,1300,23084,17.7569,3197,2363,0.7391300000000001,0.58767,0.512754,0.468561,0.431795,0.384245,0.336949,0.336949,0.336949,0.336949,0.481336,20,130.0
4,8.192,16,10,protocol,7.5,1300,21812,16.7785,3127,2112,0.675408,0.56186,0.480052,0.439734,0.40182,0.358494,0.315634,0.315634,0.315634,0.315634,0.546489,20,130.0
5,12.288,24,10,protocol,7.5,1300,25322,19.4785,3106,2428,0.781713,0.628869,0.5421590000000001,0.495403,0.454899,0.407627,0.362232,0.362232,0.362232,0.362232,0.566635,20,130.0
6,12.8,25,10,protocol,7.5,1300,21133,16.2562,3068,1980,0.6453720000000001,0.529396,0.45213,0.4110720000000001,0.378524,0.336199,0.298189,0.298189,0.298189,0.298189,0.566192,20,130.0
7,17.408,34,10,protocol,7.5,1300,23246,17.8815,3317,2351,0.708773,0.566001,0.486684,0.441661,0.4089,0.365834,0.323696,0.323696,0.323696,0.323696,0.557489,20,130.0
8,15.36,30,10,protocol,7.5,1300,23465,18.05,3325,2382,0.716391,0.5623600000000001,0.489223,0.444155,0.409131,0.365501,0.32302,0.32302,0.32302,0.32302,0.548908,20,130.0
9,15.872,31,10,protocol,7.5,1300,23147,17.8054,3455,2328,0.673806,0.541397,0.47558,0.43452,0.401862,0.357685,0.31517,0.31517,0.31517,0.31517,0.533779,20,130.0
10,14.848,29,10,protocol,7.5,1300,22717,17.4746,3329,2244,0.674076,0.5221319999999999,0.4528180000000001,0.414324,0.381965,0.34425300000000003,0.305562,0.305562,0.305562,0.305562,0.5230130000000001,20,130.0
11,15.36,30,10,protocol,7.5,1300,21789,16.7608,3281,2108,0.642487,0.508282,0.443184,0.400375,0.367235,0.327427,0.290487,0.290487,0.290487,0.290487,0.511415,20,130.0
12,14.336,28,10,protocol,7.5,1300,22423,17.2485,3284,2160,0.657734,0.5029239999999999,0.4371640000000001,0.397996,0.367969,0.331095,0.29657,0.29657,0.29657,0.29657,0.508588,20,130.0
13,12.288,24,10,protocol,7.5,1300,22182,17.0631,3123,2087,0.6682680000000001,0.493489,0.42743,0.38944,0.360478,0.326345,0.29038600000000003,0.29038600000000003,0.29038600000000003,0.29038600000000003,0.49786,20,130.0
14,12.8,25,10,protocol,7.5,1300,23143,17.8023,3143,2062,0.656061,0.5046149999999999,0.439622,0.403265,0.374114,0.338136,0.300888,0.300888,0.300888,0.300888,0.489588,20,130.0
15,14.336,28,10,protocol,7.5,1300,23627,18.1746,3180,2164,0.680503,0.5174449999999999,0.446403,0.4091260000000001,0.378016,0.341839,0.30559899999999995,0.30559899999999995,0.30559899999999995,0.30559899999999995,0.48099,20,130.0
16,12.288,24,10,protocol,7.5,1300,23467,18.0515,3282,2180,0.664229,0.497759,0.431512,0.397713,0.3708280000000001,0.336161,0.302532,0.302532,0.302532,0.302532,0.475871,20,130.0
17,10.24,20,10,protocol,7.5,1300,24579,18.9069,3246,2186,0.6734439999999999,0.515912,0.450013,0.41572,0.386693,0.349912,0.315077,0.315077,0.315077,0.315077,0.477419,20,130.0
18,8.704,17,10,protocol,7.5,1300,21742,16.7246,3198,1877,0.586929,0.455645,0.405735,0.374288,0.34668000000000004,0.309623,0.277308,0.277308,0.277308,0.277308,0.489106,20,130.0
19,14.336,28,10,protocol,7.5,1300,25872,19.9015,3327,2114,0.6354069999999999,0.504517,0.448597,0.420339,0.393817,0.361114,0.329511,0.329511,0.329511,0.329511,0.497838,20,130.0
20,13.824000000000002,27,10,protocol,7.5,1300,23205,17.85,3676,2379,0.647171,0.4985060000000001,0.429088,0.393007,0.361887,0.327292,0.293602,0.293602,0.293602,0.293602,0.495043,20,130.0
21,12.8,25,10,protocol,7.5,1300,22058,16.9677,3816,2292,0.600629,0.464825,0.399649,0.366,0.339198,0.307523,0.277752,0.277752,0.277752,0.277752,0.506929,20,130.0
22,19.456,38,10,protocol,7.5,1300,23498,18.0754,3865,2441,0.6315649999999999,0.481703,0.41899,0.385923,0.359651,0.326016,0.294136,0.294136,0.294136,0.294136,0.502807,20,130.0
23,16.384,32,10,protocol,7.5,1300,24882,19.14,4008,2565,0.6399699999999999,0.504813,0.442211,0.408395,0.378707,0.343036,0.310406,0.310406,0.310406,0.310406,0.503848,20,130.0
24,18.432,36,10,protocol,7.5,1300,24396,18.7662,3993,2592,0.6491359999999999,0.49234,0.429071,0.396191,0.369899,0.336328,0.3027,0.3027,0.3027,0.3027,0.498933,20,130.0
25,18.432,36,10,protocol,7.5,1300,23998,18.46,4150,2699,0.650361,0.494316,0.422074,0.387116,0.36084,0.329354,0.296633,0.296633,0.296633,0.296633,0.496932,20,130.0
26,17.92,35,10,protocol,7.5,1300,27761,21.3546,4215,2836,0.6728350000000001,0.53283,0.4710430000000001,0.435283,0.408136,0.376568,0.341412,0.341412,0.341412,0.341412,0.499799,20,130.0
27,11.264,22,10,protocol,7.5,1300,21834,16.7954,4431,2634,0.594448,0.458881,0.391802,0.35694000000000004,0.328999,0.297641,0.266881,0.266881,0.266881,0.266881,0.50763,20,130.0
28,10.752,21,10,protocol,7.5,1300,26719,20.5531,4623,2912,0.629894,0.525579,0.455604,0.420177,0.393179,0.359491,0.325351,0.325351,0.325351,0.325351,0.51361,20,130.0
29,19.968,39,10,protocol,7.5,1300,24905,19.1577,4462,2737,0.613402,0.483262,0.424072,0.390685,0.365701,0.33629000000000003,0.303772,0.303772,0.303772,0.303772,0.515103,20,130.0
30,12.8,25,10,protocol,7.5,1300,26033,20.0254,4209,2624,0.623426,0.500622,0.438151,0.403351,0.377481,0.350192,0.317335,0.317335,0.317335,0.317335,0.518706,20,130.0
31,20.48,40,10,protocol,7.5,1300,22864,17.5877,3844,2358,0.613424,0.463445,0.39274,0.360043,0.336969,0.308472,0.278917,0.278917,0.278917,0.278917,0.517436,20,130.0
32,14.336,28,10,protocol,7.5,1300,25424,19.5569,3759,2419,0.643522,0.504067,0.436185,0.403713,0.376921,0.343749,0.310523,0.310523,0.310523,0.310523,0.517702,20,130.0
33,18.944000000000006,37,10,protocol,7.5,1300,27172,20.9015,3682,2466,0.669745,0.530975,0.467755,0.431871,0.403261,0.367225,0.331398,0.331398,0.331398,0.331398,0.518826,20,130.0
34,14.336,28,10,protocol,7.5,1300,23860,18.3538,3745,2273,0.606943,0.473218,0.416739,0.380997,0.356016,0.32224,0.291356,0.291356,0.291356,0.291356,0.519414,20,130.0
35,19.968,39,10,protocol,7.5,1300,28076,21.5969,3882,2693,0.693715,0.541691,0.476405,0.437911,0.409982,0.377386,0.342766,0.342766,0.342766,0.342766,0.523656,20,130.0
36,20.48,40,10,protocol,7.5,1300,25612,19.7015,3842,2483,0.646278,0.482704,0.429574,0.400349,0.376454,0.344152,0.312273,0.312273,0.312273,0.312273,0.522116,20,130.0
37,14.848,29,10,protocol,7.5,1300,26366,20.2815,3738,2552,0.682718,0.524687,0.466961,0.42707,0.393905,0.356608,0.320066,0.320066,0.320066,0.320066,0.520171,20,130.0
38,16.384,32,10,protocol,7.5,1300,25018,19.2446,3907,2474,0.6332220000000001,0.483423,0.425745,0.395583,0.37086,0.337297,0.30232800000000004,0.30232800000000004,0.30232800000000004,0.30232800000000004,0.5200600000000001,20,130.0
39,14.848,29,10,protocol,7.5,1300,25424,19.5569,3996,2564,0.641642,0.501031,0.438895,0.404734,0.375512,0.341515,0.306994,0.306994,0.306994,0.306994,0.517656,20,130.0
40,13.312,26,10,protocol,7.5,1300,24623,18.9408,3943,2448,0.620847,0.473825,0.415986,0.385264,0.359323,0.328545,0.297216,0.297216,0.297216,0.297216,0.516379,20,130.0
41,16.896,33,10,protocol,7.5,1300,24760,19.0462,4144,2579,0.622346,0.487279,0.428344,0.395304,0.36708,0.333084,0.299224,0.299224,0.299224,0.299224,0.5140779999999999,20,130.0
42,16.896,33,10,protocol,7.5,1300,23679,18.2146,4386,2632,0.6000909999999999,0.473415,0.411225,0.378277,0.349738,0.318017,0.286158,0.286158,0.286158,0.286158,0.5136569999999999,20,130.0
43,16.384,32,10,protocol,7.5,1300,23119,17.7838,4437,2689,0.6060399999999999,0.470409,0.410488,0.374237,0.344269,0.311157,0.279623,0.279623,0.279623,0.279623,0.5119060000000001,20,130.0
44,16.384,32,10,protocol,7.5,1300,23271,17.9008,4371,2644,0.604896,0.472878,0.414418,0.377488,0.3468,0.3143,0.282233,0.282233,0.282233,0.282233,0.510771,20,130.0
45,15.872,31,10,protocol,7.5,1300,24423,18.7869,4262,2806,0.6583760000000001,0.498759,0.4391100000000001,0.398472,0.365818,0.331612,0.29737800000000003,0.29737800000000003,0.29737800000000003,0.29737800000000003,0.508563,20,130.0
46,15.872,31,10,protocol,7.5,1300,21744,16.7262,4192,2533,0.604246,0.44998,0.39591,0.359036,0.329324,0.297702,0.265712,0.265712,0.265712,0.265712,0.506117,20,130.0
47,16.384,32,10,protocol,7.5,1300,24662,18.9708,4168,2658,0.637716,0.490467,0.434262,0.397613,0.368412,0.336477,0.30075,0.30075,0.30075,0.30075,0.504162,20,130.0
48,16.384,32,10,protocol,7.5,1300,25233,19.41,3973,2644,0.665492,0.513292,0.447139,0.408616,0.382879,0.346206,0.309259,0.309259,0.309259,0.309259,0.501596,20,130.0
49,14.848,29,10,protocol,7.5,1300,23888,18.3754,3913,2511,0.6417069999999999,0.5015649999999999,0.431257,0.393087,0.367816,0.330123,0.29425300000000004,0.29425300000000004,0.29425300000000004,0.29425300000000004,0.5003310000000001,20,130.0
50,16.896,33,10,protocol,7.5,1300,22757,17.5054,3804,2362,0.620925,0.469933,0.405009,0.370835,0.345156,0.313811,0.282012,0.282012,0.282012,0.282012,0.499969,20,130.0
51,14.336,28,10,protocol,7.5,1300,22175,17.0577,3823,2291,0.599268,0.452126,0.389922,0.35941300000000004,0.334978,0.306671,0.275993,0.275993,0.275993,0.275993,0.503649,20,130.0
52,20.48,40,10,protocol,7.5,1300,22870,17.5923,3841,2461,0.6407189999999999,0.478382,0.417114,0.384512,0.356898,0.321445,0.28475,0.28475,0.28475,0.28475,0.50315,20,130.0
53,16.896,33,10,protocol,7.5,1300,24381,18.7546,3705,2497,0.6739539999999999,0.505542,0.438197,0.401161,0.373766,0.341021,0.303539,0.303539,0.303539,0.303539,0.501758,20,130.0
54,15.36,30,10,protocol,7.5,1300,23499,18.0762,3763,2433,0.646559,0.493508,0.431465,0.394358,0.365036,0.33089,0.293223,0.293223,0.293223,0.293223,0.500879,20,130.0
55,15.872,31,10,protocol,7.5,1300,22891,17.6085,3810,2536,0.665617,0.490444,0.419325,0.383225,0.357006,0.323619,0.287489,0.287489,0.287489,0.287489,0.498974,20,130.0
56,14.336,28,10,protocol,7.5,1300,24277,18.6746,3902,2516,0.644798,0.499926,0.439209,0.405715,0.380111,0.344548,0.306725,0.306725,0.306725,0.306725,0.496636,20,130.0
57,14.336,28,10,protocol,7.5,1300,24105,18.5423,3721,2346,0.630476,0.496807,0.438181,0.40368,0.378495,0.342352,0.30495500000000003,0.30495500000000003,0.30495500000000003,0.30495500000000003,0.495762,20,130.0
58,10.752,21,10,protocol,7.5,1300,24426,18.7892,3583,2342,0.6536420000000001,0.507404,0.447762,0.410272,0.382443,0.346622,0.310311,0.310311,0.310311,0.310311,0.496937,20,130.0
