SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
0,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,70.0
1,0.0,0,10,protocol,7.5,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,70.0
2,5.6320000000000014,11,10,protocol,7.5,700,9623,13.7471,726,640,0.8815430000000001,0.7828609999999999,0.712749,0.674059,0.632181,0.569796,0.503059,0.503059,0.503059,0.503059,0.403129,20,70.0
3,15.36,30,10,protocol,7.5,700,9022,12.8886,752,626,0.8324469999999999,0.7368600000000001,0.680405,0.6389819999999999,0.587983,0.5305949999999999,0.4673640000000001,0.4673640000000001,0.4673640000000001,0.4673640000000001,0.544509,20,70.0
4,14.848,29,10,protocol,7.5,700,9532,13.6171,790,655,0.8291139999999999,0.754054,0.7111529999999999,0.650316,0.60622,0.551829,0.488915,0.488915,0.488915,0.488915,0.553383,20,70.0
5,18.944000000000006,37,10,protocol,7.5,700,10409,14.87,771,671,0.8702979999999999,0.794118,0.735012,0.689445,0.6479199999999999,0.593974,0.525712,0.525712,0.525712,0.525712,0.532183,20,70.0
6,18.944000000000006,37,10,protocol,7.5,700,9868,14.0971,818,708,0.865526,0.754655,0.697095,0.650287,0.608336,0.55462,0.488779,0.488779,0.488779,0.488779,0.5154449999999999,20,70.0
7,17.92,35,10,protocol,7.5,700,10697,15.2814,870,776,0.8919540000000001,0.776832,0.729688,0.6905899999999999,0.653505,0.589971,0.527604,0.527604,0.527604,0.527604,0.503558,20,70.0
8,17.92,35,10,protocol,7.5,700,10307,14.7243,905,777,0.858564,0.763961,0.698275,0.6559689999999999,0.617604,0.559855,0.500486,0.500486,0.500486,0.500486,0.5024770000000001,20,70.0
9,16.896,33,10,protocol,7.5,700,9954,14.22,828,676,0.816425,0.711896,0.649842,0.6169439999999999,0.5892470000000001,0.529892,0.472113,0.472113,0.472113,0.472113,0.491999,20,70.0
10,18.432,36,10,protocol,7.5,700,10761,15.3729,868,759,0.874424,0.7444649999999999,0.693553,0.6520050000000001,0.6235390000000001,0.559855,0.503204,0.503204,0.503204,0.503204,0.490167,20,70.0
11,16.896,33,10,protocol,7.5,700,10510,15.0143,876,711,0.8116439999999999,0.748027,0.6835680000000001,0.6432939999999999,0.603536,0.53842,0.485357,0.485357,0.485357,0.485357,0.481215,20,70.0
12,13.312,26,10,protocol,7.5,700,10480,14.9714,828,695,0.8393719999999999,0.736267,0.658512,0.6208560000000001,0.5862890000000001,0.5263939999999999,0.475078,0.475078,0.475078,0.475078,0.495021,20,70.0
13,15.36,30,10,protocol,7.5,700,11133,15.9043,851,735,0.86369,0.744338,0.680668,0.638941,0.608379,0.5513899999999999,0.499775,0.499775,0.499775,0.499775,0.495875,20,70.0
14,16.896,33,10,protocol,7.5,700,10870,15.5286,918,792,0.8627450000000001,0.736639,0.656771,0.625054,0.590047,0.533687,0.48259,0.48259,0.48259,0.48259,0.498016,20,70.0
15,17.408,34,10,protocol,7.5,700,11406,16.2943,932,786,0.843348,0.746084,0.666667,0.641505,0.607475,0.554292,0.502003,0.502003,0.502003,0.502003,0.49213,20,70.0
