SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
36,18.432,36,10,none,7.5,400,6003,15.0075,426,390,0.915493,0.841388,0.809208,0.774319,0.746738,0.715127,0.672607,0.672607,0.672607,0.672607,0.482284
37,18.432,36,10,none,7.5,400,5940,14.85,394,360,0.913706,0.84106,0.782638,0.758149,0.736585,0.709995,0.663946,0.663946,0.663946,0.663946,0.483578
38,19.968,39,10,none,7.5,400,5811,14.5275,400,367,0.9175,0.832061,0.778352,0.749225,0.726875,0.69284,0.648254,0.648254,0.648254,0.648254,0.481054
39,20.48,40,10,none,7.5,400,6031,15.0775,420,365,0.869048,0.813953,0.792389,0.769613,0.747564,0.716863,0.669555,0.669555,0.669555,0.669555,0.480006
40,19.968,39,10,none,7.5,400,5841,14.6025,470,404,0.859574,0.822622,0.777281,0.748056,0.72053,0.689312,0.637942,0.637942,0.637942,0.637942,0.477646
41,18.432,36,10,none,7.5,400,5697,14.2425,512,434,0.847656,0.800124,0.750329,0.715704,0.691961,0.665382,0.614215,0.614215,0.614215,0.614215,0.475233
42,16.384,32,10,none,7.5,400,6080,15.2,508,458,0.901575,0.845732,0.790164,0.743785,0.724488,0.700013,0.654003,0.654003,0.654003,0.654003,0.472714
43,17.92,35,10,none,7.5,400,5992,14.98,490,414,0.844898,0.784255,0.749921,0.725005,0.7048,0.686456,0.64444,0.64444,0.64444,0.64444,0.470489
44,19.968,39,10,none,7.5,400,5784,14.46,414,355,0.857488,0.770756,0.729589,0.711021,0.690044,0.665487,0.62845,0.62845,0.62845,0.62845,0.471814
45,19.456,38,10,none,7.5,400,5538,13.845,362,311,0.859116,0.76942,0.720036,0.696618,0.670636,0.644734,0.606751,0.606751,0.606751,0.606751,0.470846
46,20.992,41,10,none,7.5,400,5942,14.855,390,358,0.917949,0.831303,0.793136,0.755268,0.729604,0.700341,0.652819,0.652819,0.652819,0.652819,0.469119
47,19.456,38,10,none,7.5,400,5640,14.1,394,350,0.888325,0.811765,0.754426,0.718651,0.700922,0.669153,0.623025,0.623025,0.623025,0.623025,0.467483
48,21.504,42,10,none,7.5,400,6348,15.87,414,377,0.910628,0.875084,0.8341,0.801058,0.781298,0.753517,0.704361,0.704361,0.704361,0.704361,0.465068
49,19.968,39,10,none,7.5,400,5493,13.7325,452,385,0.85177,0.790634,0.745124,0.701885,0.685633,0.658722,0.610499,0.610499,0.610499,0.610499,0.462481
50,18.432,36,10,none,7.5,400,5664,14.16,452,392,0.867257,0.805316,0.747604,0.719787,0.70796,0.679313,0.636415,0.636415,0.636415,0.636415,0.467743
51,16.384,32,10,none,7.5,400,5804,14.51,462,420,0.909091,0.841812,0.789131,0.7428,0.727531,0.697082,0.65771,0.65771,0.65771,0.65771,0.467868
52,16.384,32,10,none,7.5,400,5500,13.75,468,417,0.891026,0.825549,0.764528,0.709438,0.697986,0.664747,0.620176,0.620176,0.620176,0.620176,0.466755
53,16.384,32,10,none,7.5,400,6100,15.25,503,455,0.904573,0.858127,0.821404,0.787033,0.76701,0.736028,0.686634,0.686634,0.686634,0.686634,0.464851
54,16.384,32,10,none,7.5,400,5642,14.105,561,486,0.86631,0.808814,0.766429,0.732225,0.70828,0.682259,0.6326,0.6326,0.6326,0.6326,0.462827
55,16.384,32,10,none,7.5,400,5832,14.58,584,515,0.881849,0.84634,0.81137,0.753244,0.737021,0.711375,0.650882,0.650882,0.650882,0.650882,0.460814
56,14.848,29,10,none,7.5,400,5681,14.2025,647,581,0.897991,0.841831,0.799114,0.759142,0.731183,0.695868,0.632065,0.632065,0.632065,0.632065,0.458936
57,14.336,28,10,none,7.5,400,5973,14.9325,582,510,0.876289,0.847368,0.824449,0.789158,0.764054,0.733307,0.670597,0.670597,0.670597,0.670597,0.456982
58,14.848,29,10,none,7.5,400,5787,14.4675,568,501,0.882042,0.822678,0.793623,0.7684,0.742707,0.713274,0.659034,0.659034,0.659034,0.659034,0.455992
59,15.872,31,10,none,7.5,400,5499,13.7475,574,495,0.862369,0.81774,0.772921,0.742193,0.710409,0.682728,0.631785,0.631785,0.631785,0.631785,0.458205
60,17.408,34,10,none,7.5,400,5481,13.7025,539,473,0.877551,0.830212,0.787868,0.750345,0.71542,0.688989,0.637273,0.637273,0.637273,0.637273,0.459654
61,18.432,36,10,none,7.5,400,5872,14.68,570,515,0.903509,0.873338,0.83426,0.800971,0.770351,0.743436,0.68957,0.68957,0.68957,0.68957,0.461239
62,18.432,36,10,none,7.5,400,5304,13.26,558,475,0.851254,0.794937,0.7625,0.745202,0.711205,0.677318,0.62826,0.62826,0.62826,0.62826,0.463298
63,18.944,37,10,none,7.5,400,5278,13.195,532,472,0.887218,0.825293,0.768548,0.732983,0.707209,0.676684,0.631491,0.631491,0.631491,0.631491,0.46288
64,19.968,39,10,none,7.5,400,5510,13.775,508,460,0.905512,0.851733,0.810969,0.780765,0.747711,0.709309,0.665982,0.665982,0.665982,0.665982,0.462093
65,19.456,38,10,none,7.5,400,4874,12.185,510,423,0.829412,0.792005,0.742604,0.696534,0.670144,0.636566,0.588861,0.588861,0.588861,0.588861,0.466324
66,18.432,36,10,none,7.5,400,5351,13.3775,499,451,0.903808,0.859025,0.81327,0.772378,0.741747,0.700423,0.648799,0.648799,0.648799,0.648799,0.466648
67,17.408,34,10,none,7.5,400,5399,13.4975,510,463,0.907843,0.848568,0.797725,0.767288,0.743352,0.707503,0.65809,0.65809,0.65809,0.65809,0.465967
68,15.872,31,10,none,7.5,400,4769,11.9225,494,420,0.850202,0.798119,0.742532,0.693975,0.668733,0.630034,0.588112,0.588112,0.588112,0.588112,0.467017
69,18.944,37,10,none,7.5,400,5358,13.395,490,445,0.908163,0.854286,0.813743,0.778355,0.756728,0.71279,0.660745,0.660745,0.660745,0.660745,0.466269
70,18.432,36,10,none,7.5,400,5228,13.07,488,428,0.877049,0.840355,0.789127,0.756971,0.738167,0.698258,0.649602,0.649602,0.649602,0.649602,0.464894
71,16.896,33,10,none,7.5,400,5071,12.6775,455,392,0.861538,0.805556,0.758188,0.741781,0.71296,0.684512,0.634418,0.634418,0.634418,0.634418,0.464875
72,18.432,36,10,none,7.5,400,5170,12.925,424,379,0.893868,0.848966,0.795168,0.763729,0.738951,0.703127,0.653273,0.653273,0.653273,0.653273,0.4634
73,18.432,36,10,none,7.5,400,5257,13.1425,460,418,0.908696,0.867388,0.815045,0.786044,0.756805,0.72135,0.670922,0.670922,0.670922,0.670922,0.464242
74,18.432,36,10,none,7.5,400,5290,13.225,488,463,0.94877,0.884265,0.839557,0.804611,0.768535,0.734328,0.680742,0.680742,0.680742,0.680742,0.463367
