SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
58,18.432,36,10,none,7.5,400,0,0,568,0,0,0,0,0,0,0,0,0,0,0,2683.34
59,18.432,36,10,none,7.5,400,0,0,574,0,0,0,0,0,0,0,0,0,0,0,2621.22
60,18.432,36,10,none,7.5,400,0,0,539,0,0,0,0,0,0,0,0,0,0,0,2561.92
61,18.432,36,10,none,7.5,400,0,0,570,0,0,0,0,0,0,0,0,0,0,0,2521.01
62,18.432,36,10,none,7.5,400,0,0,558,0,0,0,0,0,0,0,0,0,0,0,2479.69
63,18.432,36,10,none,7.5,400,0,0,532,0,0,0,0,0,0,0,0,0,0,0,2439.93
64,17.92,35,10,none,7.5,400,0,0,508,0,0,0,0,0,0,0,0,0,0,0,2394.99
65,18.432,36,10,none,7.5,400,0,0,510,0,0,0,0,0,0,0,0,0,0,0,2356.69
66,17.92,35,10,none,7.5,400,0,0,499,0,0,0,0,0,0,0,0,0,0,0,2316.44
67,17.408,34,10,none,7.5,400,0,0,510,0,0,0,0,0,0,0,0,0,0,0,2271.04
68,17.92,35,10,none,7.5,400,0,0,494,0,0,0,0,0,0,0,0,0,0,0,2231.5
69,18.432,36,10,none,7.5,400,0,0,490,0,0,0,0,0,0,0,0,0,0,0,2198.8
70,17.92,35,10,none,7.5,400,0,0,488,0,0,0,0,0,0,0,0,0,0,0,2165.58
71,18.432,36,10,none,7.5,400,0,0,455,0,0,0,0,0,0,0,0,0,0,0,2128.67
72,18.432,36,10,none,7.5,400,0,0,424,0,0,0,0,0,0,0,0,0,0,0,2099.29
73,18.432,36,10,none,7.5,400,0,0,460,0,0,0,0,0,0,0,0,0,0,0,2069.95
74,18.432,36,10,none,7.5,400,0,0,488,0,0,0,0,0,0,0,0,0,0,0,2040.8
75,18.432,36,10,none,7.5,400,0,0,532,0,0,0,0,0,0,0,0,0,0,0,2011.57
76,17.92,35,10,none,7.5,400,0,0,624,0,0,0,0,0,0,0,0,0,0,0,1976.99
77,18.432,36,10,none,7.5,400,0,0,645,0,0,0,0,0,0,0,0,0,0,0,1939.4
78,17.408,34,10,none,7.5,400,0,0,564,0,0,0,0,0,0,0,0,0,0,0,1902.9
79,18.432,36,10,none,7.5,400,0,0,583,0,0,0,0,0,0,0,0,0,0,0,1874.33
80,18.432,36,10,none,7.5,400,0,0,602,0,0,0,0,0,0,0,0,0,0,0,1850.25
81,18.432,36,10,none,7.5,400,0,0,578,0,0,0,0,0,0,0,0,0,0,0,1826.66
82,18.432,36,10,none,7.5,400,0,0,596,0,0,0,0,0,0,0,0,0,0,0,1803.66
83,18.432,36,10,none,7.5,400,0,0,613,0,0,0,0,0,0,0,0,0,0,0,1781.12
84,18.432,36,10,none,7.5,400,0,0,578,0,0,0,0,0,0,0,0,0,0,0,1759.25
85,18.432,36,10,none,7.5,400,0,0,593,0,0,0,0,0,0,0,0,0,0,0,1737.18
